qseqid	Drug Class	Resistance Mechanism
lcl|CP084321.1_cds_WDM06434.1_195	disinfecting agents and antiseptics	antibiotic efflux
lcl|CP084321.1_cds_WDM06435.1_196	disinfecting agents and antiseptics	antibiotic efflux
lcl|CP084321.1_cds_WDM06436.1_197	disinfecting agents and antiseptics	antibiotic efflux
lcl|CP084321.1_cds_WDM06700.1_468	aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM06701.1_469	aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM06702.1_470	aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07035.1_812	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07036.1_813	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07037.1_814	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07038.1_815	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07105.1_884	bicyclomycin-like antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07121.1_901	aminoglycoside antibiotic	antibiotic inactivation
lcl|CP084321.1_cds_WDM07130.1_910	carbapenem;cephalosporin;monobactam	antibiotic inactivation
lcl|CP084321.1_cds_WDM07396.1_1192	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycopeptide antibiotic;glycylcycline;oxazolidinone antibiotic;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07501.1_1299	aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07542.1_1340	disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07543.1_1341	disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07544.1_1342	disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07666.1_1467	peptide antibiotic	antibiotic target alteration
lcl|CP084321.1_cds_WDM07698.1_1499	carbapenem;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07699.1_1500	carbapenem;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM07700.1_1501	carbapenem;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM08022.1_1832	aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM08138.1_1955	peptide antibiotic	antibiotic efflux;antibiotic target alteration
lcl|CP084321.1_cds_WDM08139.1_1956	peptide antibiotic	antibiotic efflux;antibiotic target alteration
lcl|CP084321.1_cds_WDM08796.1_2635	aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux;reduced permeability to antibiotic
lcl|CP084321.1_cds_WDM08797.1_2636	aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux;reduced permeability to antibiotic
lcl|CP084321.1_cds_WDM09139.1_2995	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM09140.1_2996	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM09141.1_2997	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM09142.1_2998	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM09172.1_3029	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM09173.1_3030	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM09174.1_3031	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM03138.1_3261	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux;antibiotic target alteration
lcl|CP084321.1_cds_WDM03173.1_3299	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation
lcl|CP084321.1_cds_WDM03589.1_3741	carbapenem;cephalosporin;monobactam;penam	antibiotic inactivation
lcl|CP084321.1_cds_WDM03442.1_3586	aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM03443.1_3587	aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM03751.1_3912	aminoglycoside antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux
lcl|CP084321.1_cds_WDM03902.1_4066	phenicol antibiotic	antibiotic efflux
